scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Edelweiss Long Term Equity Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2
ICICI Pru Long Term Equity Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5
Franklin Build India Fund,3,Equity,Sectoral / Thematic Mutual Funds,16,36.1,13.3
Baroda BNP Paribas ELSS Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5
Aditya Birla SL Flexi Cap Fund,3,Equity,Flexi Cap Funds,-2.1,25,10.4
SBI Equity Hybrid Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,-1.9,18.4,10.8
Mirae Asset Large Cap Fund,3,Equity,Large Cap Mutual Funds,0.6,25.3,12.1
Aditya Birla SL FP FoF – Aggressive – Direct Growth,3,Other,FoFs Domestic,2.5,21.7,10.7
IDBI Focused 30 Equity Fund,3,Equity,Focused Funds,0.1,25.2,10.2
Aditya Birla SL Focused Equity Fund,3,Equity,Focused Funds,-0.7,24,10.7
Navi Flexi Cap Fund,3,Equity,Flexi Cap Funds,2.1,25.9,
Aditya Birla SL Asset Allocator FoF-Dir Growth,3,Other,FoFs Domestic,2,18.9,9.7
Shriram Long Term Equity Fund,3,Equity,ELSS Mutual Funds,0.8,20.1,
DSP Equity & Bond Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7
Bandhan Large Cap Fund,3,Equity,Large Cap Mutual Funds,-1.9,23,10.9
Motilal Oswal Long Term Equity Fund,3,Equity,ELSS Mutual Funds,8.5,25,10
Invesco India Growth Opportunities Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11
ICICI Pru Nifty 50 Index Fund,3,Other,Index Funds,0.9,26.1,11.9
UTI-Nifty 50 Index Fund,3,Other,Index Funds,0.9,26.2,12
Tata Nifty 50 Index Fund,3,Other,Index Funds,1,25.6,12
LIC MF S&P BSE Sensex Index Fund,3,Other,Index Funds,2.2,25.4,12.6
Franklin India Taxshield – Direct Growth,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4
UTI-Hybrid Equity Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,25.8,9.8
Nippon India Index Fund,3,Other,Index Funds,0.9,26,11.9
HDFC Hybrid Equity Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3
HDFC Index Fund,3,Other,Index Funds,0.9,26,12
Aditya Birla SL Frontline Equity Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6
DSP Nifty 50 Index Fund,3,Other,Index Funds,0.9,25.8,
IDBI Nifty 50 Index Fund,3,Other,Index Funds,0.8,25.8,11.8
Aditya Birla SL Nifty 50 Index Fund,3,Other,Index Funds,0.7,25.5,11.6
SBI Nifty Index Fund,3,Other,Index Funds,0.9,26,11.8
Bandhan Hybrid Equity Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.9,23.9,9.6
LIC MF Nifty 50 Index Fund,3,Other,Index Funds,1,25.8,11.7
Franklin India NSE Nifty 50 Index Fund,3,Other,Index Funds,0.9,25.6,11.6
ICICI Pru Retirement Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3
Motilal Oswal Equity Hybrid Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
HSBC Equity Hybrid Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
Kotak Flexi Cap Fund,3,Equity,Flexi Cap Funds,3.8,25,11.7
L&T Focused Equity Fund,3,Equity,Focused Funds,-0.7,33.7,11.3
Franklin India Equity Hybrid Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11
SBI Multi Asset Allocation Fund,3,Hybrid,Multi Asset Allocation Mutual Funds,5.9,16.1,9.6
Nippon India Large Cap Fund,3,Equity,Large Cap Mutual Funds,8.4,29.5,12.6
ICICI Pru Passive Strategy Fund,3,Other,FoFs Domestic,4.9,26.3,10.9
Tata Hybrid Equity Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,6.2,22.8,10.5
Indiabulls Equity Hybrid Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,
Taurus Tax Shield – Direct Growth,3,Equity,ELSS Mutual Funds,6.8,24.4,10.6
Union Balanced Advantage Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.6,18.3,10.2
Tata Retirement Savings Fund,3,Solution Oriented,Retirement Funds,0.5,19.3,9.4
Aditya Birla SL FP FoF – Moderate – Direct Growth,3,Other,FoFs Domestic,3.7,17.3,9.4
Kotak Balanced Advantage Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,
Shriram Hybrid Equity Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.7,17.7,8.9
Navi Equity Hybrid Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,19.7,
ICICI Pru Child Care Fund,3,Solution Oriented,Childrens Funds,1,19.8,8.8
Nippon India Balanced Advantage Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.3,17.1,10.1
Quantum Tax Saving Fund,3,Equity,ELSS Mutual Funds,2.9,26.6,8.9
Bandhan Balanced Advantage Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.1,15.1,8.5
SBI Equity Savings Fund,3,Hybrid,Equity Savings Mutual Funds,2.2,14.6,8.1
Aditya Birla SL Regular Savings Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6
Franklin India Dynamic Asset Allocation FoFs-Dir-G,3,Other,FoFs Domestic,5.9,18.2,9.2
Invesco India Financial Services Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9
HDFC Hybrid Debt Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6,13.3,8.4
AXIS Equity Saver Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8
DSP Dynamic Asset Allocation Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3
ICICI Pru Retirement Fund,3,Solution Oriented,Retirement Funds,2,9.9,
Tata Equity Saving Fund,3,Hybrid,Equity Savings Mutual Funds,3.4,12,7.5
HSBC Balanced Advantage Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8
PGIM India Equity Savings Fund,3,Hybrid,Equity Savings Mutual Funds,4.3,12.6,8
HSBC Conservative Hybrid Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5
Franklin India Equity Savings Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14,
Quantum Multi Asset Fund,3,Other,FoFs Domestic,5.5,12.4,8.1
ICICI Pru Equity Savings Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9
ICICI Pru Retirement Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,
Bandhan Equity Savings Fund,3,Hybrid,Equity Savings Mutual Funds,3.6,12.2,6.9
HDFC Credit Risk Debt Fund,3,Debt,Credit Risk Funds,4.6,8,7.7
UTI-Dynamic Bond Fund,3,Debt,Dynamic Bond,12.5,11,6.3
Aditya Birla SL Govt Securities Fund,3,Debt,Gilt Mutual Funds,3.6,6,8
DSP Strategic Bond Fund,3,Debt,Dynamic Bond,3,5.4,7.3
Nippon India GSF – Direct Growth,3,Debt,Gilt Mutual Funds,4.4,5.5,8.3
AXIS Regular Saver Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7
UTI-Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,4.2,6.5,
UTI-Regular Savings Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.7,13.5,7.2
LIC MF G-Sec Fund,3,Debt,Gilt Mutual Funds,3.3,4.9,7.7
Franklin India Life Stage FOF-50s + FRP – Dir Growth,3,Other,FoFs Domestic,1.7,32.4,13.3
Kotak Bond Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7
Kotak Banking and PSU Debt Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5
LIC MF Debt Hybrid Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7
PGIM India Banking&PSU Debt Fund,3,Debt,Banking and PSU Mutual Funds,4.1,6.4,7.1
Nippon India Income Fund,3,Debt,Medium to Long Duration Funds,6,5.8,7.9
HDFC Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3
HDFC Medium Term Debt Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4
PGIM India Ultra Short Duration Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,7.3
HDFC Short Term Debt Fund,3,Debt,Short Duration Funds,4.7,7,7.3
ICICI Pru Bond Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3
Nippon India Floating Rate Fund,3,Debt,Floater Mutual Funds,4.5,6.9,7.1
SBI Credit Risk Fund,3,Debt,Credit Risk Funds,5.2,7.2,7
Bandhan All Seasons Bond Fund,3,Other,FoFs Domestic,4.1,6.6,7.1
PGIM India Dynamic Bond Fund,3,Debt,Dynamic Bond,4.6,5.7,7.4
PGIM India Gilt Fund,3,Debt,Gilt Mutual Funds,4.2,5.3,7
Nippon India Banking&Financial Services-DirGrowth,3,Equity,Sectoral / Thematic Mutual Funds,8.8,28.3,9.5
ICICI Pru Banking & Financial Services – DirectGrowth,3,Equity,Sectoral / Thematic Mutual Funds,7,24.9,9.7
SBI Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.4,
Kotak Bond – Short Term Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2
DSP Banking & Psu Debt Fund,3,Debt,Banking and PSU Mutual Funds,4,6.4,6.9
Franklin India Debt Hybrid Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7
UTI-Gilt Fund,3,Debt,Gilt Mutual Funds,5,5,7.3
HSBC Medium Duration Fund,3,Debt,Medium Duration Funds,4.2,7,6.7
Invesco India Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9
Tata Short Term Bond Fund,3,Debt,Short Duration Funds,4.7,6.6,5.8
HSBC Gilt Fund,3,Debt,Gilt Mutual Funds,5,5.4,7.1
Franklin India Corporate Debt Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7
Canara Robeco Income Fund,3,Debt,Medium to Long Duration Funds,3.9,5.8,7
Tata Income Fund,3,Debt,Medium to Long Duration Funds,1.7,32.4,13.3
SBI Short Term Debt Fund,3,Debt,Short Duration Funds,4.6,6.4,6.8
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,3,Other,FoFs Domestic,4,6.5,6.9
Canara Robeco Gilt Fund,3,Debt,Gilt Mutual Funds,4.3,5.1,7
Quantum Dynamic Bond Fund,3,Debt,Dynamic Bond,5.4,5.9,6.9
Kotak Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1
Bandhan Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,3.4,6.9,6.8
Canara Robeco Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,4,6,6.7
HSBC Dynamic Bond Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8
Mirae Asset Short Term Fund,3,Debt,Short Duration Funds,4.5,6.1,6.7
LIC MF Banking & PSU Debt Fund,3,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8
Kotak Low Duration Fund,3,Debt,Low Duration Funds,5.4,6.2,6.9
Navi Regular Savings Fund,3,Hybrid,Conservative Hybrid Mutual Funds,4.4,8.4,6.5
Canara Robeco Short Duration Fund,3,Debt,Short Duration Funds,4.1,5.9,6.5
Canara Robeco Dynamic Bond Fund,3,Debt,Dynamic Bond,4.7,5.3,6.6
Baroda BNP Paribas Short Duration Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7
UTI-Floater Fund,3,Debt,Floater Mutual Funds,5.1,5.9,
Indiabulls Dynamic Bond Fund,3,Debt,Dynamic Bond,4.2,5.2,
Baroda BNP Paribas Low Duration Fund,3,Debt,Low Duration Funds,5,6,6.5
IDBI Dynamic Bond Fund,3,Debt,Dynamic Bond,1.7,32.4,13.3
DSP Credit Risk Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5
SBI Magnum Low Duration Fund,3,Debt,Low Duration Funds,5.2,5.6,6.4
HDFC Income Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1
Mahindra Manulife Low Duration Fund,3,Debt,Low Duration Funds,5.2,5.5,6.4
HDFC Money Market Fund,3,Debt,Money Market Funds,5.6,5.6,6.3
SBI Savings Fund,3,Debt,Money Market Funds,5.5,5.3,6.2
Franklin India Savings Fund,3,Debt,Money Market Funds,5.3,5.2,6.1
ICICI Pru Money Market Fund,3,Debt,Money Market Funds,5.5,5.4,6.1
Kotak Savings Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,6.2
Kotak Money Market Fund,3,Debt,Money Market Funds,5.6,5.1,6.1
Invesco India Ultra Short Term Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6
IDBI Ultra Short Term Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9
L&T Ultra Short Term Fund,3,Debt,Ultra Short Duration Funds,1.7,32.4,13.3
Mirae Asset Savings Fund,3,Debt,Low Duration Funds,5.2,5.6,5.9
DSP Ultra Short Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5
Baroda BNP Paribas Ultra Short Duration Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,
Bandhan Money Manager Fund,3,Debt,Money Market Funds,5.4,5.1,5.7
HSBC Low Duration Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8
Baroda BNP Paribas Arbitrage Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6
Aditya Birla SL Arbitrage Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
UTI-Arbitrage Fund,3,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5
Sundaram Money Market Fund,3,Debt,Money Market Funds,5.4,4.7,
ICICI Pru Equity – Arbitrage Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
Bandhan Arbitrage – Direct Growth,3,Hybrid,Arbitrage Mutual Funds,5.6,4.7,5.5
DSP Arbitrage Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4
Union Arbitrage Fund,3,Hybrid,Arbitrage Mutual Funds,5,4.4,
Sundaram Ultra Short Duration Fund,3,Debt,Ultra Short Duration Funds,5.7,4.7,4.5
DSP Bond Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9
LIC MF Savings Fund,3,Debt,Low Duration Funds,5,5.9,5.6
Franklin India Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4
HSBC Credit Risk Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1
PGIM India Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4
Nippon India Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4
LIC MF Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.3
Tata Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.3
Mirae Asset Cash Management Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
HSBC Liquid Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3
DSP Liquidity Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
SBI Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Invesco India Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Bandhan Liquid Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.2
Tata Treasury Advantage Fund,3,Debt,Low Duration Funds,5,5.6,5.2
PGIM India Short Duration Fund,3,Debt,Short Duration Funds,4.5,6.3,4.6
Baroda BNP Paribas Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
UTI-Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,4.6
Aditya Birla SL Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
Tata Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
L&T Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,4.7
Bandhan Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
Kotak Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
ICICI Pru Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
Union Overnight Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
IDBI Credit Risk Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7
Shriram Balanced Advantage Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,13.9,
Kotak Focused Equity Fund,3,Equity,Focused Funds,0.5,26.6,
Baroda BNP Paribas Equity Savings Fund,3,Hybrid,Equity Savings Mutual Funds,3.7,9.8,
Motilal Oswal Nifty 500 Index Fund,3,Other,Index Funds,-1.2,26.7,
Motilal Oswal Nifty Midcap 150 Index Fund,3,Other,Index Funds,4.8,33.7,
Tata Banking & PSU Debt Fund,3,Debt,Banking and PSU Mutual Funds,4,6.9,
AXIS Nifty 100 Index Fund,3,Other,Index Funds,-1.7,25.1,
Motilal Oswal Large and Midcap Fund,3,Equity,Large & Mid Cap Funds,10.7,28.9,
Union Large & Midcap Fund,3,Equity,Large & Mid Cap Funds,0.7,27.6,
Tata Focused Equity Fund,3,Equity,Focused Funds,0.4,28.4,
BHARAT Bond FOF – April 2023 – Direct Growth,3,Other,FoFs Domestic,4.8,7.2,
Invesco India Overnight Fund,3,Debt,Overnight Mutual Funds,5.3,3.8,
HSBC Ultra Short Duration Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,
Mirae Asset Banking and PSU Debt Fund,3,Debt,Banking and PSU Mutual Funds,3.7,,
Mirae Asset Ultra Short Duration Fund,3,Debt,Ultra Short Duration Funds,5.5,,
SBI Floating Rate Debt Fund,3,Debt,Floater Mutual Funds,5,,
Bandhan Floating Rate Fund,3,Debt,Floater Mutual Funds,4.7,,
Mahindra Manulife Short Duration Fund,3,Debt,Short Duration Funds,4.4,,
Mirae Asset Corporate Bond Fund,3,Debt,Corporate Bond Mutual Funds,3.7,,
Mirae Asset Money Market Fund,3,Debt,Money Market Funds,5.3,,
Union Money Market Fund,3,Debt,Money Market Funds,5.4,,
DSP Small Cap Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5
Sundaram Small Cap Fund,2,Equity,Small Cap Mutual Funds,1.6,44.9,9.3
HSBC Small Cap Equity Fund,2,Equity,Small Cap Mutual Funds,-0.5,45.3,8.4
Baroda BNP Paribas Multi Cap Fund,2,Equity,Multi Cap Funds,-1.7,28.8,12.3
Franklin India Smaller Companies Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2
Bandhan Infrastructure Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.4,38.1,8.2
Bank of India Large & Mid Cap Equity Fund,2,Equity,Large & Mid Cap Funds,2.7,25.6,9.5
DSP Midcap Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5
Nippon India Gold Savings Fund,2,Other,FoFs Domestic,14.2,11.7,13.1
Sundaram Infrastructure Advantage Fund,2,Equity,Sectoral / Thematic Mutual Funds,7.3,32.5,9.1
HSBC Large & Mid Cap Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,
Aditya Birla SL Gold Fund,2,Other,FoFs Domestic,11.8,12.1,13.2
JM Value Fund,2,Equity,Value Funds,7.7,28.9,12.4
AXIS Triple Advantage Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4
UTI-Core Equity Fund,2,Equity,Large & Mid Cap Funds,4.1,30.7,10.2
Tata India Consumer Fund,2,Equity,Sectoral / Thematic Mutual Funds,2.8,23,10.6
HSBC Midcap Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8
Tata Flexi Cap Fund,2,Equity,Flexi Cap Funds,-2.5,21.3,
Aditya Birla SL Infrastructure Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2
AXIS Focused 25 Fund,2,Equity,Focused Funds,-14.7,14.8,8.9
AXIS Children’s Gift Fund,2,Solution Oriented,Childrens Funds,-6.7,17.5,9.9
LIC MF Large Cap Fund,2,Equity,Large Cap Mutual Funds,-3.2,19.7,10.9
HSBC Tax Saver Equity Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9
HSBC Flexi Cap Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2
IDBI Long Term Value Fund,2,Equity,Value Funds,-0.1,25.4,
UTI-Nifty Next 50 Index Fund,2,Other,Index Funds,-6.4,22.2,
Nippon India Nifty Next 50 Junior BeES FoF-Dir Growth,2,Other,FoFs Domestic,-5.8,21.8,
HSBC Infrastructure Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3
Tata Equity P/E Fund,2,Equity,Value Funds,6.6,27.8,10
Tata Large Cap Fund,2,Equity,Large Cap Mutual Funds,1.8,25.7,11.3
AXIS Equity Hybrid Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,
Franklin India Equity Advantage Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2
Sundaram Nifty 100 Equal Weight Fund,2,Other,Index Funds,-3.1,26.2,8.2
Indiabulls Value Fund,2,Equity,Value Funds,-0.2,25.6,6.3
Nippon India Index Fund,2,Other,Index Funds,0.9,26,11.9
Union Largecap Fund,2,Equity,Large Cap Mutual Funds,0.1,24.3,9.9
DSP Nifty Next 50 Index Fund,2,Other,Index Funds,-6.3,21.8,
Sundaram Mid Cap Fund,2,Equity,Mid Cap Mutual Funds,4.3,27.4,8.2
LIC MF Tax Plan – Direct Growth,2,Equity,ELSS Mutual Funds,-1.9,20.5,9.9
Franklin India Prima Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10
AXIS Long Term Equity Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4
Navi Large Cap Equity Fund,2,Equity,Large Cap Mutual Funds,0.2,32.6,12.4
Tata Retirement Savings Fund,2,Solution Oriented,Retirement Funds,-0.7,33.7,11.3
IDBI Equity Advantage Fund,2,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
HDFC Capital Builder Value Fund,2,Equity,Value Funds,-0.7,33.7,11.3
Franklin India Bluechip Fund,2,Equity,Large Cap Mutual Funds,-1,25.1,9.7
Motilal Oswal Focused Fund,2,Equity,Focused Funds,2.6,20.4,10.6
HSBC Large Cap Fund,2,Equity,Large Cap Mutual Funds,0,23.3,10.6
Bandhan Focused Equity Fund,2,Equity,Focused Funds,-4,20.7,7.2
L&T India Large Cap Fund,2,Equity,Large Cap Mutual Funds,0.8,33,12.1
Quantum Equity Fund,2,Other,FoFs Domestic,-0.5,22.9,9.1
HSBC Managed Solutions Growth Fund,2,Other,FoFs Domestic,0.6,22.2,9.2
L&T Flexi Cap Fund,2,Equity,Flexi Cap Funds,-0.3,34.1,11.7
L&T Large & Midcap Fund,2,Equity,Large & Mid Cap Funds,1.7,36.2,12
Navi 3 In 1 Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,0.2,32.6,12.4
HDFC Tax Saver Fund,2,Equity,ELSS Mutual Funds,10,31,10.3
DSP Focus Fund,2,Equity,Focused Funds,-1.7,20.4,8.9
UTI-Infrastructure Fund,2,Equity,Sectoral / Thematic Mutual Funds,12.9,28,9.4
Bandhan Flexi Cap Fund,2,Equity,Flexi Cap Funds,-3.2,21.4,8.4
Sundaram Diversified Equity – Direct Growth,2,Equity,ELSS Mutual Funds,2.2,26.1,8.9
Indiabulls Tax Savings Fund,2,Equity,ELSS Mutual Funds,1,22.3,7.8
Aditya Birla SL Equity Hybrid ’95 Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7
Navi ELSS Tax Saver Fund,2,Equity,ELSS Mutual Funds,1.3,23.4,10.5
PGIM India Large Cap Fund,2,Equity,Large Cap Mutual Funds,4.7,24.1,10.9
HDFC Top 100 Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9
Shriram Flexi Cap Fund,2,Equity,Flexi Cap Funds,1.4,21.5,
Franklin India Life Stage Fund,2,Other,FoFs Domestic,-0.7,33.7,11.3
HSBC Managed Solutions Moderate Fund,2,Other,FoFs Domestic,1.2,19,8.7
HSBC Aggressive Hybrid Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1
LIC MF Flexi Cap Fund,2,Equity,Flexi Cap Funds,-0.9,18.3,8.8
Sundaram Consumption Fund,2,Equity,Sectoral / Thematic Mutual Funds,7.3,22.5,8.8
IDBI Hybrid Equity Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7
Invesco India Equity & Bond Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,
Indiabulls Bluechip Fund,2,Equity,Large Cap Mutual Funds,2,21.3,9.5
Quantum Long Term Equity Value Fund,2,Equity,Value Funds,2.4,26.5,8.8
PGIM India Hybrid Equity Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,4,20.6,9
Bandhan Asset Allocation FoF – Aggressive-Direct Growth,2,Other,FoFs Domestic,-1,17.6,6.9
DSP Equity Savings Fund,2,Hybrid,Equity Savings Mutual Funds,4,14.6,7.8
HSBC Equity Savings Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5
IDBI Equity Savings Fund,2,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2
Aditya Birla SL Equity Savings Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,2,Solution Oriented,Retirement Funds,0,17.9,
AXIS Balanced Advantage Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8
UTI-Multi Asset Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,4.9,16.5,7.5
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,2,Solution Oriented,Childrens Funds,-0.7,17.1,
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,2,Solution Oriented,Retirement Funds,-0.1,15,
Edelweiss Banking & Psu Debt Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9
DSP Regular Savings Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3,10.8,6
Bandhan G Sec Fund,2,Debt,Gilt Mutual Funds,2.5,5.8,8.5
Invesco India Dynamic Equity Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4
Tata Retirement Savings Fund,2,Solution Oriented,Retirement Funds,2.1,9.5,7.1
Aditya Birla SL Banking&Financial Services-DirGrowth,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2
Invesco India Equity Savings Fund,2,Hybrid,Equity Savings Mutual Funds,1.2,9.6,
Union Equity Savings Fund,2,Hybrid,Equity Savings Mutual Funds,2,10.8,
Bandhan Dynamic Bond Fund,2,Debt,Dynamic Bond,2.4,5.6,7.7
AXIS Dynamic Bond Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7
L&T Conservative Hybrid Fund,2,Hybrid,Conservative Hybrid Mutual Funds,1.7,32.4,13.3
ICICI Pru Floating Interest Fund,2,Debt,Floater Mutual Funds,6.3,7,7.2
SBI Banking and PSU Fund,2,Debt,Banking and PSU Mutual Funds,3.8,6.2,7
Mirae Asset Dynamic Bond Fund,2,Debt,Dynamic Bond,2.8,4.5,7.2
Franklin India Banking & PSU Debt Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2
